Zip Code,Age: 20-30,Age: 30-45,Age: 45-60,Age: 60+,Race: White,Race: Black/African American,Race: American Indian and Alaska Native,Race: Asian,Race: Hawaiian and Pacific Islander,Education: Below Middle School,Educatiohn: High School,Education: College,Education: Graduate and Above,"Income: Less than 10,000","Income: Between 10,000 to 19,999","Income: Between 20,000 to 34,999","Income: Between 35,000 to 49,999","Income: Between 50,000 to 74,999","Income: More than 75,000",Employment: Employed,Employment: Unemployed,Employment: Not In Labor Force,Insurance: 2 or More,Insurance: One,Insurance: No,Transportation: Cars,Transportation: Public,Transportation: Motor
),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003,4256,4120,4701,4866,19127,1345,0,744,18,168,4372,10087,1889,125,313,861,1019,1710,4026,10505,932,6141,4215,16446,1568,9215,16,50
32004,725,804,1446,2566,5765,75,100,45,0,29,937,2963,1222,191,210,248,302,557,1432,2894,60,2513,1402,4341,242,2337,0,0
32008,1795,2173,2773,3977,11405,835,32,6,187,827,5367,3216,553,487,810,1013,886,719,980,4028,344,6220,3144,7264,2297,3494,2,0
32009,924,798,917,902,4320,4,0,0,0,58,1818,1467,41,61,41,167,183,310,649,2293,53,1180,548,3391,471,2150,0,0
32011,1478,1329,1739,1744,7228,166,0,12,0,162,2951,2637,253,32,214,278,435,627,1115,3856,135,2190,959,5903,681,3655,0,9
32024,1764,2071,2279,2840,9559,997,0,140,47,259,3897,3998,375,429,420,711,466,808,1192,4503,530,3820,2001,7433,1696,4244,11,0
32025,2241,2253,2146,3780,10140,2260,31,54,0,212,4831,4291,389,430,658,894,696,1142,1244,5185,471,4584,2571,8829,1176,4680,6,20
32033,850,448,1248,1991,4206,695,46,20,0,259,1573,2065,305,109,166,303,317,382,717,2107,292,2104,1494,3005,594,1901,27,0
32034,4445,5015,8207,13834,32467,2451,15,718,0,469,8725,15369,5014,853,924,2157,1795,2510,7439,15836,809,14337,9546,22449,3987,13855,50,28
32038,404,824,671,1313,3786,193,0,0,0,119,1620,1156,184,201,160,363,262,216,351,1344,167,1690,895,2643,512,1260,0,0
32041,1415,1911,1531,1455,7076,626,0,0,0,281,2511,2740,245,129,288,438,250,520,969,3428,321,2379,1116,5613,1031,3184,0,12
32043,8456,8385,10038,10287,38426,3478,130,594,37,1050,14812,16036,1738,1095,1520,2384,1968,3460,6105,19088,1576,15033,8468,30244,5290,17374,36,17
32044,981,1123,1574,2138,6634,141,0,148,0,240,2513,2366,355,170,237,389,469,626,911,2828,154,2786,1486,4698,775,2613,7,0
32046,2695,2808,3244,3520,13804,769,259,33,0,421,6704,4198,282,383,488,840,610,1351,1739,6459,350,5306,2365,10584,1930,5814,5,3
32050,841,766,1268,1365,5312,0,12,0,12,111,2494,1257,105,253,89,297,136,537,500,2093,156,1935,1038,3198,1250,2007,0,19
32053,714,611,939,1090,3201,693,71,22,0,144,1737,1076,46,143,309,358,162,166,429,1283,179,1808,829,2874,595,1063,6,0
32054,2486,2416,2308,2357,8841,2270,80,29,4,453,4982,3306,195,362,431,574,507,691,754,3201,310,5910,1547,5670,965,2813,63,0
32055,4378,3380,3746,3824,11909,4735,125,145,13,821,7477,5662,389,285,662,1039,896,1030,1469,5896,637,8605,3260,8840,1975,5358,2,0
32056,1453,1608,1363,1728,5784,1340,0,245,0,161,1707,3106,498,159,522,549,504,623,870,3502,118,2362,1403,4998,1073,3210,0,0
